workerid,rt,color_other,color_target,n_total,target_quantifier,response,n_target,slide_number_in_experiment,count,colorblind,enjoyment,gender,age,comments,languages,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.language_information,Answer.time_in_minutes
0,21637,black,white,10,half,[u'@metade@ dos pontos s\xe3o brancos'],5,5,English or Portuguese,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3WDXCWYEASYR5JG286X19Y30QO4JYR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Mo Jul 10 20:42:43 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,144000,Mi Aug 09 20:42:43 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3SEPORI8WO7Z68CE6WMSYACAG9VAZD,0,Submitted,Mi Jul 12 12:52:17 MESZ 2017,Mo Jul 10 20:47:09 MESZ 2017,Mo Jul 10 20:52:17 MESZ 2017,,,,,,[],{},"{""country_of_birth"":""USA"",""country_of_residence"":""Portugal"",""native_language"":""Portuguese"",""father_country_of_birth"":""Portugal"",""mother_country_of_birth"":""USA"",""childhood_language"":""Portuguese"",""preferred_language"":""English""}",4.68015
0,7534,white,black,100,almost all,[u'@quase todos@ os pontos s\xe3o brancos'],90,6,English or Portuguese,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3WDXCWYEASYR5JG286X19Y30QO4JYR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Mo Jul 10 20:42:43 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,144000,Mi Aug 09 20:42:43 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3SEPORI8WO7Z68CE6WMSYACAG9VAZD,0,Submitted,Mi Jul 12 12:52:17 MESZ 2017,Mo Jul 10 20:47:09 MESZ 2017,Mo Jul 10 20:52:17 MESZ 2017,,,,,,[],{},"{""country_of_birth"":""USA"",""country_of_residence"":""Portugal"",""native_language"":""Portuguese"",""father_country_of_birth"":""Portugal"",""mother_country_of_birth"":""USA"",""childhood_language"":""Portuguese"",""preferred_language"":""English""}",4.68015
0,14613,black,white,10,two,[u'@dois@ dos pontos s\xe3o brancos'],2,7,English or Portuguese,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3WDXCWYEASYR5JG286X19Y30QO4JYR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Mo Jul 10 20:42:43 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,144000,Mi Aug 09 20:42:43 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3SEPORI8WO7Z68CE6WMSYACAG9VAZD,0,Submitted,Mi Jul 12 12:52:17 MESZ 2017,Mo Jul 10 20:47:09 MESZ 2017,Mo Jul 10 20:52:17 MESZ 2017,,,,,,[],{},"{""country_of_birth"":""USA"",""country_of_residence"":""Portugal"",""native_language"":""Portuguese"",""father_country_of_birth"":""Portugal"",""mother_country_of_birth"":""USA"",""childhood_language"":""Portuguese"",""preferred_language"":""English""}",4.68015
0,7819,white,black,10,a few,[u'@alguns@ dos pontos s\xe3o pretos'],3,8,English or Portuguese,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3WDXCWYEASYR5JG286X19Y30QO4JYR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Mo Jul 10 20:42:43 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,144000,Mi Aug 09 20:42:43 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3SEPORI8WO7Z68CE6WMSYACAG9VAZD,0,Submitted,Mi Jul 12 12:52:17 MESZ 2017,Mo Jul 10 20:47:09 MESZ 2017,Mo Jul 10 20:52:17 MESZ 2017,,,,,,[],{},"{""country_of_birth"":""USA"",""country_of_residence"":""Portugal"",""native_language"":""Portuguese"",""father_country_of_birth"":""Portugal"",""mother_country_of_birth"":""USA"",""childhood_language"":""Portuguese"",""preferred_language"":""English""}",4.68015
0,9959,black,white,100,most,[u'@quase todos@ dos pontos s\xe3o brancos'],75,9,English or Portuguese,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3WDXCWYEASYR5JG286X19Y30QO4JYR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Mo Jul 10 20:42:43 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,144000,Mi Aug 09 20:42:43 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3SEPORI8WO7Z68CE6WMSYACAG9VAZD,0,Submitted,Mi Jul 12 12:52:17 MESZ 2017,Mo Jul 10 20:47:09 MESZ 2017,Mo Jul 10 20:52:17 MESZ 2017,,,,,,[],{},"{""country_of_birth"":""USA"",""country_of_residence"":""Portugal"",""native_language"":""Portuguese"",""father_country_of_birth"":""Portugal"",""mother_country_of_birth"":""USA"",""childhood_language"":""Portuguese"",""preferred_language"":""English""}",4.68015
0,6028,black,white,10,none,[u'@nenhum@ dos pontos \xe9 branco'],0,10,English or Portuguese,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3WDXCWYEASYR5JG286X19Y30QO4JYR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Mo Jul 10 20:42:43 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,144000,Mi Aug 09 20:42:43 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3SEPORI8WO7Z68CE6WMSYACAG9VAZD,0,Submitted,Mi Jul 12 12:52:17 MESZ 2017,Mo Jul 10 20:47:09 MESZ 2017,Mo Jul 10 20:52:17 MESZ 2017,,,,,,[],{},"{""country_of_birth"":""USA"",""country_of_residence"":""Portugal"",""native_language"":""Portuguese"",""father_country_of_birth"":""Portugal"",""mother_country_of_birth"":""USA"",""childhood_language"":""Portuguese"",""preferred_language"":""English""}",4.68015
0,17773,black,white,100,some,[u'@alguns@ dos pontos s\xe3o brancos'],25,11,English or Portuguese,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3WDXCWYEASYR5JG286X19Y30QO4JYR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Mo Jul 10 20:42:43 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,144000,Mi Aug 09 20:42:43 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3SEPORI8WO7Z68CE6WMSYACAG9VAZD,0,Submitted,Mi Jul 12 12:52:17 MESZ 2017,Mo Jul 10 20:47:09 MESZ 2017,Mo Jul 10 20:52:17 MESZ 2017,,,,,,[],{},"{""country_of_birth"":""USA"",""country_of_residence"":""Portugal"",""native_language"":""Portuguese"",""father_country_of_birth"":""Portugal"",""mother_country_of_birth"":""USA"",""childhood_language"":""Portuguese"",""preferred_language"":""English""}",4.68015
0,9163,black,white,100,all,[u'@todos@ os pontos s\xe3o brancos'],100,12,English or Portuguese,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3WDXCWYEASYR5JG286X19Y30QO4JYR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Mo Jul 10 20:42:43 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,144000,Mi Aug 09 20:42:43 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3SEPORI8WO7Z68CE6WMSYACAG9VAZD,0,Submitted,Mi Jul 12 12:52:17 MESZ 2017,Mo Jul 10 20:47:09 MESZ 2017,Mo Jul 10 20:52:17 MESZ 2017,,,,,,[],{},"{""country_of_birth"":""USA"",""country_of_residence"":""Portugal"",""native_language"":""Portuguese"",""father_country_of_birth"":""Portugal"",""mother_country_of_birth"":""USA"",""childhood_language"":""Portuguese"",""preferred_language"":""English""}",4.68015
0,44670,black,white,100,many,[u'@muitos@ dos pontos s\xe3o brancos'],65,13,English or Portuguese,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3WDXCWYEASYR5JG286X19Y30QO4JYR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Mo Jul 10 20:42:43 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,144000,Mi Aug 09 20:42:43 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3SEPORI8WO7Z68CE6WMSYACAG9VAZD,0,Submitted,Mi Jul 12 12:52:17 MESZ 2017,Mo Jul 10 20:47:09 MESZ 2017,Mo Jul 10 20:52:17 MESZ 2017,,,,,,[],{},"{""country_of_birth"":""USA"",""country_of_residence"":""Portugal"",""native_language"":""Portuguese"",""father_country_of_birth"":""Portugal"",""mother_country_of_birth"":""USA"",""childhood_language"":""Portuguese"",""preferred_language"":""English""}",4.68015
0,13106,black,white,25,less than half,[u'@menos de metade@ dos pontos s\xe3o brancos'],8,14,English or Portuguese,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3WDXCWYEASYR5JG286X19Y30QO4JYR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Mo Jul 10 20:42:43 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,144000,Mi Aug 09 20:42:43 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HA5ODM5KA0JA0V4WXEEAKX0ATJSVC,3SEPORI8WO7Z68CE6WMSYACAG9VAZD,0,Submitted,Mi Jul 12 12:52:17 MESZ 2017,Mo Jul 10 20:47:09 MESZ 2017,Mo Jul 10 20:52:17 MESZ 2017,,,,,,[],{},"{""country_of_birth"":""USA"",""country_of_residence"":""Portugal"",""native_language"":""Portuguese"",""father_country_of_birth"":""Portugal"",""mother_country_of_birth"":""USA"",""childhood_language"":""Portuguese"",""preferred_language"":""English""}",4.68015
