workerid,rt,color_other,color_target,n_total,target_quantifier,response,n_target,slide_number_in_experiment,count,colorblind,enjoyment,gender,age,comments,languages,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes,Answer.country_of_birth,Answer.country_of_residence,Answer.native_language,Answer.father_country_of_birth,Answer.mother_country_of_birth,Answer.childhood_language,Answer.preferred_language
0,12363,white,black,10,two,[u'@dois@ dos pontos s\xe3o pretos'],2,5,English,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3LB1BGHFL241TU3OQ86OROXGUW0YTN,3BENJTNX753NEGOPJBZ6NCJDFM81SR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Do Jul 13 20:46:00 MESZ 2017,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,86400,Sa Aug 12 20:46:00 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL241TU3OQ86OROXGUW0YTN,3RKNTXVS3N6J3BOPL3W24EZ1GOL4A9,0,Submitted,Fr Jul 14 20:54:01 MESZ 2017,Do Jul 13 20:50:30 MESZ 2017,Do Jul 13 20:54:01 MESZ 2017,,,,,,[],{},3.4614166666666666,"""Portugal""","""USA/Portugal""","""Portuguese""","""Portugal""","""USA""","""Portuguese""","""English"""
0,9048,white,black,10,a few,[u'@alguns@ dos pontos s\xe3o pretos'],3,6,English,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3LB1BGHFL241TU3OQ86OROXGUW0YTN,3BENJTNX753NEGOPJBZ6NCJDFM81SR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Do Jul 13 20:46:00 MESZ 2017,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,86400,Sa Aug 12 20:46:00 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL241TU3OQ86OROXGUW0YTN,3RKNTXVS3N6J3BOPL3W24EZ1GOL4A9,0,Submitted,Fr Jul 14 20:54:01 MESZ 2017,Do Jul 13 20:50:30 MESZ 2017,Do Jul 13 20:54:01 MESZ 2017,,,,,,[],{},3.4614166666666666,"""Portugal""","""USA/Portugal""","""Portuguese""","""Portugal""","""USA""","""Portuguese""","""English"""
0,8769,white,black,100,some,[u'@alguns@ dos pontos s\xe3o pretos'],25,7,English,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3LB1BGHFL241TU3OQ86OROXGUW0YTN,3BENJTNX753NEGOPJBZ6NCJDFM81SR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Do Jul 13 20:46:00 MESZ 2017,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,86400,Sa Aug 12 20:46:00 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL241TU3OQ86OROXGUW0YTN,3RKNTXVS3N6J3BOPL3W24EZ1GOL4A9,0,Submitted,Fr Jul 14 20:54:01 MESZ 2017,Do Jul 13 20:50:30 MESZ 2017,Do Jul 13 20:54:01 MESZ 2017,,,,,,[],{},3.4614166666666666,"""Portugal""","""USA/Portugal""","""Portuguese""","""Portugal""","""USA""","""Portuguese""","""English"""
0,7356,white,black,10,half,[u'@metade@ dos pontos s\xe3o pretos'],5,8,English,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3LB1BGHFL241TU3OQ86OROXGUW0YTN,3BENJTNX753NEGOPJBZ6NCJDFM81SR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Do Jul 13 20:46:00 MESZ 2017,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,86400,Sa Aug 12 20:46:00 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL241TU3OQ86OROXGUW0YTN,3RKNTXVS3N6J3BOPL3W24EZ1GOL4A9,0,Submitted,Fr Jul 14 20:54:01 MESZ 2017,Do Jul 13 20:50:30 MESZ 2017,Do Jul 13 20:54:01 MESZ 2017,,,,,,[],{},3.4614166666666666,"""Portugal""","""USA/Portugal""","""Portuguese""","""Portugal""","""USA""","""Portuguese""","""English"""
0,7188,white,black,100,almost all,[u'@quase todos@ os pontos s\xe3o pretos'],90,9,English,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3LB1BGHFL241TU3OQ86OROXGUW0YTN,3BENJTNX753NEGOPJBZ6NCJDFM81SR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Do Jul 13 20:46:00 MESZ 2017,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,86400,Sa Aug 12 20:46:00 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL241TU3OQ86OROXGUW0YTN,3RKNTXVS3N6J3BOPL3W24EZ1GOL4A9,0,Submitted,Fr Jul 14 20:54:01 MESZ 2017,Do Jul 13 20:50:30 MESZ 2017,Do Jul 13 20:54:01 MESZ 2017,,,,,,[],{},3.4614166666666666,"""Portugal""","""USA/Portugal""","""Portuguese""","""Portugal""","""USA""","""Portuguese""","""English"""
0,6204,white,black,100,many,[u'@muitos@ dos pontos s\xe3o pretos'],65,10,English,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3LB1BGHFL241TU3OQ86OROXGUW0YTN,3BENJTNX753NEGOPJBZ6NCJDFM81SR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Do Jul 13 20:46:00 MESZ 2017,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,86400,Sa Aug 12 20:46:00 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL241TU3OQ86OROXGUW0YTN,3RKNTXVS3N6J3BOPL3W24EZ1GOL4A9,0,Submitted,Fr Jul 14 20:54:01 MESZ 2017,Do Jul 13 20:50:30 MESZ 2017,Do Jul 13 20:54:01 MESZ 2017,,,,,,[],{},3.4614166666666666,"""Portugal""","""USA/Portugal""","""Portuguese""","""Portugal""","""USA""","""Portuguese""","""English"""
0,7977,black,white,25,less than half,[u'@menos de metade@ dos pontos s\xe3o brancos'],8,11,English,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3LB1BGHFL241TU3OQ86OROXGUW0YTN,3BENJTNX753NEGOPJBZ6NCJDFM81SR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Do Jul 13 20:46:00 MESZ 2017,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,86400,Sa Aug 12 20:46:00 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL241TU3OQ86OROXGUW0YTN,3RKNTXVS3N6J3BOPL3W24EZ1GOL4A9,0,Submitted,Fr Jul 14 20:54:01 MESZ 2017,Do Jul 13 20:50:30 MESZ 2017,Do Jul 13 20:54:01 MESZ 2017,,,,,,[],{},3.4614166666666666,"""Portugal""","""USA/Portugal""","""Portuguese""","""Portugal""","""USA""","""Portuguese""","""English"""
0,7677,white,black,100,most,[u'@a maior parte@ dos pontos s\xe3o pretos'],75,12,English,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3LB1BGHFL241TU3OQ86OROXGUW0YTN,3BENJTNX753NEGOPJBZ6NCJDFM81SR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Do Jul 13 20:46:00 MESZ 2017,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,86400,Sa Aug 12 20:46:00 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL241TU3OQ86OROXGUW0YTN,3RKNTXVS3N6J3BOPL3W24EZ1GOL4A9,0,Submitted,Fr Jul 14 20:54:01 MESZ 2017,Do Jul 13 20:50:30 MESZ 2017,Do Jul 13 20:54:01 MESZ 2017,,,,,,[],{},3.4614166666666666,"""Portugal""","""USA/Portugal""","""Portuguese""","""Portugal""","""USA""","""Portuguese""","""English"""
0,8502,white,black,10,none,[u'@nenhum@ dos pontos \xe9 preto'],0,13,English,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3LB1BGHFL241TU3OQ86OROXGUW0YTN,3BENJTNX753NEGOPJBZ6NCJDFM81SR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Do Jul 13 20:46:00 MESZ 2017,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,86400,Sa Aug 12 20:46:00 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL241TU3OQ86OROXGUW0YTN,3RKNTXVS3N6J3BOPL3W24EZ1GOL4A9,0,Submitted,Fr Jul 14 20:54:01 MESZ 2017,Do Jul 13 20:50:30 MESZ 2017,Do Jul 13 20:54:01 MESZ 2017,,,,,,[],{},3.4614166666666666,"""Portugal""","""USA/Portugal""","""Portuguese""","""Portugal""","""USA""","""Portuguese""","""English"""
0,5961,white,black,100,all,[u'@todos@ os pontos s\xe3o pretos'],100,14,English,no,2,Male,33,,English,Yes,2,Windows,1080,1920,Chrome,3LB1BGHFL241TU3OQ86OROXGUW0YTN,3BENJTNX753NEGOPJBZ6NCJDFM81SR,Language study,A 10-minute language study for non-native English speakers in the form of translation tasks,language research translation tuebingen fun cognitive science university,$0.50,Do Jul 13 20:46:00 MESZ 2017,30,0,0,0,Reviewable,NotReviewed,1 cond,1800,86400,Sa Aug 12 20:46:00 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL241TU3OQ86OROXGUW0YTN,3RKNTXVS3N6J3BOPL3W24EZ1GOL4A9,0,Submitted,Fr Jul 14 20:54:01 MESZ 2017,Do Jul 13 20:50:30 MESZ 2017,Do Jul 13 20:54:01 MESZ 2017,,,,,,[],{},3.4614166666666666,"""Portugal""","""USA/Portugal""","""Portuguese""","""Portugal""","""USA""","""Portuguese""","""English"""
